Datetime,Water Level (m)
2024-08-04 18:00:00,0.94429517
2024-08-04 19:00:00,1.1370846
2024-08-04 20:00:00,1.0210735
2024-08-04 21:00:00,0.7831467
2024-08-04 22:00:00,0.48942664
2024-08-04 23:00:00,0.19085598
2024-08-05 00:00:00,-0.09262076
2024-08-05 01:00:00,-0.32386404
2024-08-05 02:00:00,-0.36829513
2024-08-05 03:00:00,-0.03890059
2024-08-05 04:00:00,0.32620552
2024-08-05 05:00:00,0.77159464
2024-08-05 06:00:00,1.2133706
2024-08-05 07:00:00,1.418141
2024-08-05 08:00:00,1.4117908
2024-08-05 09:00:00,1.1412941
2024-08-05 10:00:00,0.85277903
2024-08-05 11:00:00,0.5350786
2024-08-05 12:00:00,0.22070615
2024-08-05 13:00:00,-0.062456008
2024-08-05 14:00:00,-0.26860565
2024-08-05 15:00:00,-0.16359085
2024-08-05 16:00:00,0.1610178
2024-08-05 17:00:00,0.5350006
2024-08-05 18:00:00,0.89480597
2024-08-05 19:00:00,1.2258613
2024-08-05 20:00:00,1.2306573
2024-08-05 21:00:00,1.0034645
2024-08-05 22:00:00,0.72304827
2024-08-05 23:00:00,0.41033435
2024-08-06 00:00:00,0.104788676
2024-08-06 01:00:00,-0.16675934
2024-08-06 02:00:00,-0.35314533
2024-08-06 03:00:00,-0.18291901
2024-08-06 04:00:00,0.15095252
2024-08-06 05:00:00,0.57192034
2024-08-06 06:00:00,1.0886856
2024-08-06 07:00:00,1.4072844
2024-08-06 08:00:00,1.5381539
2024-08-06 09:00:00,1.3658155
2024-08-06 10:00:00,1.0701622
2024-08-06 11:00:00,0.78020567
2024-08-06 12:00:00,0.44015464
2024-08-06 13:00:00,0.13217787
2024-08-06 14:00:00,-0.13166787
2024-08-06 15:00:00,-0.2335933
2024-08-06 16:00:00,0.08077412
2024-08-06 17:00:00,0.42126977
2024-08-06 18:00:00,0.81254745
2024-08-06 19:00:00,1.2227863
2024-08-06 20:00:00,1.3658501
2024-08-06 21:00:00,1.2127239
2024-08-06 22:00:00,0.94646686
2024-08-06 23:00:00,0.6547741
2024-08-07 00:00:00,0.34403774
2024-08-07 01:00:00,0.05194148
2024-08-07 02:00:00,-0.19614913
2024-08-07 03:00:00,-0.26579213
2024-08-07 04:00:00,0.05989814
2024-08-07 05:00:00,0.41859823
2024-08-07 06:00:00,0.8433757
2024-08-07 07:00:00,1.3204093
2024-08-07 08:00:00,1.5597794
2024-08-07 09:00:00,1.5331209
2024-08-07 10:00:00,1.2616928
2024-08-07 11:00:00,0.9579311
2024-08-07 12:00:00,0.6356712
2024-08-07 13:00:00,0.31332338
2024-08-07 14:00:00,0.018553507
2024-08-07 15:00:00,-0.187481
2024-08-07 16:00:00,-0.07013206
2024-08-07 17:00:00,0.26846576
2024-08-07 18:00:00,0.65524966
2024-08-07 19:00:00,1.08177
2024-08-07 20:00:00,1.3591784
2024-08-07 21:00:00,1.3744555
2024-08-07 22:00:00,1.1139396
2024-08-07 23:00:00,0.8564479
2024-08-08 00:00:00,0.53636974
2024-08-08 01:00:00,0.23346213
2024-08-08 02:00:00,-0.038491677
2024-08-08 03:00:00,-0.22948135
2024-08-08 04:00:00,-0.08630726
2024-08-08 05:00:00,0.25300822
2024-08-08 06:00:00,0.66783077
2024-08-08 07:00:00,1.1678116
2024-08-08 08:00:00,1.4840347
2024-08-08 09:00:00,1.5938225
2024-08-08 10:00:00,1.3870103
2024-08-08 11:00:00,1.0886644
2024-08-08 12:00:00,0.797952
2024-08-08 13:00:00,0.46268904
2024-08-08 14:00:00,0.15932211
2024-08-08 15:00:00,-0.08876515
2024-08-08 16:00:00,-0.16079363
2024-08-08 17:00:00,0.16525455
2024-08-08 18:00:00,0.514384
2024-08-08 19:00:00,0.89550966
2024-08-08 20:00:00,1.2959766
2024-08-08 21:00:00,1.4362862
2024-08-08 22:00:00,1.2674598
2024-08-08 23:00:00,1.0078006
2024-08-09 00:00:00,0.71172345
2024-08-09 01:00:00,0.40182087
2024-08-09 02:00:00,0.11248832
2024-08-09 03:00:00,-0.12978676
2024-08-09 04:00:00,-0.21707436
2024-08-09 05:00:00,0.082514584
2024-08-09 06:00:00,0.42267329
2024-08-09 07:00:00,0.8176433
2024-08-09 08:00:00,1.2572736
2024-08-09 09:00:00,1.4568522
2024-08-09 10:00:00,1.3711382
2024-08-09 11:00:00,1.0959377
2024-08-09 12:00:00,0.8137566
2024-08-09 13:00:00,0.48976377
2024-08-09 14:00:00,0.18347754
2024-08-09 15:00:00,-0.07710152
2024-08-09 16:00:00,-0.2521095
2024-08-09 17:00:00,-0.08500456
2024-08-09 18:00:00,0.22417489
2024-08-09 19:00:00,0.596109
2024-08-09 20:00:00,0.9377151
2024-08-09 21:00:00,1.2555934
2024-08-09 22:00:00,1.261191
2024-08-09 23:00:00,1.0484843
2024-08-10 00:00:00,0.78893465
2024-08-10 01:00:00,0.49159485
2024-08-10 02:00:00,0.21282695
2024-08-10 03:00:00,-0.026728421
2024-08-10 04:00:00,-0.18583843
2024-08-10 05:00:00,-0.02788581
2024-08-10 06:00:00,0.27294073
2024-08-10 07:00:00,0.640349
2024-08-10 08:00:00,0.9870135
2024-08-10 09:00:00,1.319479
2024-08-10 10:00:00,1.3742983
2024-08-10 11:00:00,1.1437663
2024-08-10 12:00:00,0.8820663
2024-08-10 13:00:00,0.58334404
2024-08-10 14:00:00,0.29140308
2024-08-10 15:00:00,0.022372423
2024-08-10 16:00:00,-0.18966335
2024-08-10 17:00:00,-0.19721438
2024-08-10 18:00:00,0.090469904
